Número de mostra	Tamany del laberint	Punt d'inici	Punt final	Distància de Manhattan	Avg. paths/cell	Num. cells	Temps DFS(micros)	Temps A*(micros)
1	22477	(44,10)	(66,67)	79	3.14338	17457	1562	356
2	15950	(223,20)	(222,37)	18	2.58666	12491	1899	61
3	42054	(115,75)	(136,94)	40	3.24847	33207	2526	167
4	56544	(122,137)	(26,82)	151	3.26833	45299	2508	957
5	30155	(168,13)	(122,14)	47	3.02453	23399	538	108
6	66454	(4,257)	(148,157)	244	3.17459	51946	3900	1714
7	544	(1,3)	(23,6)	25	2.7725	400	62	53
8	25777	(83,86)	(139,122)	92	3.27339	20414	2933	434
9	3432	(23,23)	(79,0)	79	2.65006	2629	334	257
10	20294	(116,54)	(39,11)	120	3.09793	15766	1022	676
11	17621	(202,8)	(33,10)	171	2.5875	13726	538	249
12	18236	(136,59)	(78,54)	63	2.73248	14115	184	139
13	32736	(31,168)	(110,83)	164	3.25002	25830	4035	887
14	28428	(129,62)	(81,13)	97	2.87242	22017	1395	376
15	3485	(37,84)	(12,56)	53	3.10864	2697	280	190
16	20925	(8,109)	(123,137)	143	3.17437	16316	3033	818
17	4960	(18,77)	(25,64)	20	3.29295	3946	114	42
18	10647	(12,239)	(14,245)	8	3.22886	8442	1574	29
19	6024	(22,69)	(17,215)	151	3.28135	4848	793	275
20	34560	(87,124)	(138,52)	123	2.82414	27237	3045	1517
21	37127	(117,96)	(177,111)	75	2.83185	29337	5163	312
22	16905	(21,150)	(19,58)	94	3.30647	13512	1141	136
23	27168	(64,200)	(34,245)	75	3.11999	21094	3886	352
24	37386	(60,210)	(55,231)	26	3.30814	29730	5377	97
25	1611	(165,5)	(107,6)	59	2.51099	1137	217	77
26	13114	(48,66)	(30,131)	83	3.21433	10297	1629	311
27	5365	(67,17)	(144,16)	78	2.52315	4104	628	94
28	19968	(174,79)	(5,21)	227	2.93955	15733	1854	2010
29	22848	(90,214)	(85,5)	214	3.23896	18032	3671	411
30	19530	(183,51)	(78,5)	151	2.67722	15218	1532	960
31	41860	(143,100)	(229,11)	175	2.84086	32958	4363	2945
32	49662	(45,163)	(270,157)	231	3.01107	39313	438	747
33	22386	(29,58)	(47,30)	46	2.65935	17323	1079	186
34	1095	(1,27)	(10,49)	31	3.12515	847	119	54
35	12141	(48,74)	(42,8)	72	3.17468	9503	644	135
36	21615	(41,85)	(60,52)	52	3.21113	16914	769	161
37	51952	(174,262)	(34,270)	148	3.36065	41852	8951	449
38	1778	(12,125)	(12,49)	76	3.20842	1401	180	47
39	38661	(18,59)	(134,206)	263	3.1459	30089	4880	1973
40	798	(22,20)	(7,3)	32	2.88084	621	122	75
41	5704	(10,149)	(16,7)	148	3.18067	4511	574	248
42	2736	(10,145)	(9,87)	59	3.15473	2165	119	56
43	1400	(41,19)	(59,10)	27	2.54327	1040	113	65
44	22671	(124,85)	(32,8)	169	2.72106	17588	2344	797
45	23975	(72,70)	(55,87)	34	3.17232	18698	2028	103
46	29172	(87,229)	(11,275)	122	3.12412	22655	4999	673
47	7254	(16,192)	(25,3)	198	3.26988	5747	1037	551
48	5940	(42,121)	(29,124)	16	3.09474	4602	1010	34
49	22794	(117,103)	(98,60)	62	3.01724	17979	1331	190
50	29785	(99,130)	(59,100)	70	3.20197	23598	981	333
51	47600	(198,1)	(195,14)	16	3.26226	37634	596	83
52	40950	(38,38)	(168,101)	193	3.1715	32152	3300	1836
53	44528	(59,68)	(237,72)	182	3.16491	35370	3228	480
54	15249	(5,212)	(3,248)	38	3.29224	12151	2303	60
55	40081	(35,33)	(24,133)	111	3.26633	31720	3402	323
56	1854	(7,0)	(6,192)	193	3.03904	1460	280	170
57	1785	(11,65)	(9,91)	28	3.06063	1369	273	38
58	12341	(37,13)	(19,167)	172	3.26518	9782	1187	828
59	782	(1,23)	(16,4)	34	3.18647	606	86	138
60	6603	(21,182)	(15,120)	68	3.219	5201	325	129
61	71400	(174,230)	(117,242)	69	3.29144	56756	10692	227
62	25466	(18,112)	(24,23)	95	3.24817	20164	1516	180
63	18644	(23,26)	(151,60)	162	3.17235	14743	1571	888
64	24696	(48,83)	(144,16)	163	2.69734	19081	3183	1039
65	4432	(224,2)	(158,1)	67	2.40593	3237	301	121
66	8756	(150,37)	(47,27)	113	2.64591	6953	389	346
